"Compound","Assays"
"LSM-4256","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Fluorescence imaging cell viability assay##Aggregated small molecule biochemical target activity##KINOMEscan kinase-small molecule binding assay"
"LSM-1102","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Fluorescence imaging cell viability assay"
"LSM-1067","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1062","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Aggregated small molecule biochemical target activity"
"LSM-1035","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##KINOMEscan kinase-small molecule binding assay##Bead-based immunoassay for protein state##Aggregated small molecule biochemical target activity"
"LSM-1026","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-3828","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Fluorescence imaging cell viability assay##Aggregated small molecule biochemical target activity"
"LSM-4062","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging cell growth inhibition assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-1190","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##MS protein state assay##Aggregated small molecule biochemical target activity"
"LSM-1224","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1098","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##MS protein state assay##Aggregated small molecule biochemical target activity"
"LSM-1057","Fluorescence imaging protein state assay##L1000 mRNA profiling assay##Cellarium metabolic profiling assay##Fluorescence imaging cell count assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1028","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1142","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1011","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-3514","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2787","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1047","L1000 mRNA profiling assay##Cellarium metabolic profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-42746","L1000 mRNA profiling assay##RPPA protein state assay##Fluorescence imaging apoptosis assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay"
"LSM-1181","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1141","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1065","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1066","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1013","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1107","Fluorescence imaging cell count assay##Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1231","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Bead-based immunoassay for protein state##Aggregated small molecule biochemical target activity"
"LSM-43226","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##MS protein state assay"
"LSM-2309","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Bead-based immunoassay for protein state##Aggregated small molecule biochemical target activity"
"LSM-42800","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##MS protein state assay"
"LSM-1024","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1093","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1025","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1045","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1027","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-5690","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Fluorescence imaging cell count assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5512","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4192","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3347","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1126","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Bead-based immunoassay for protein state##Aggregated small molecule biochemical target activity"
"LSM-1471","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-19036","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-42917","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-1080","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1059","L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1163","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##KINOMEscan kinase-small molecule binding assay"
"LSM-2481","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Fluorescence imaging cell count assay##Aggregated small molecule biochemical target activity"
"LSM-1048","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Bead-based immunoassay for protein state##Aggregated small molecule biochemical target activity"
"LSM-1064","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2597","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1086","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##KiNativ kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1199","L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##RNA-seq gene expression profiling assay##MS protein state assay##Aggregated small molecule biochemical target activity"
"LSM-1106","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##KiNativ kinase-small molecule binding assay##KINOMEscan kinase-small molecule binding assay"
"LSM-42788","Fluorescence imaging apoptosis assay##Fluorescence imaging cell cycle state assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay"
"LSM-42789","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-6281","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging apoptosis assay##Aggregated small molecule biochemical target activity"
"LSM-1143","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging cell viability assay##Aggregated small molecule biochemical target activity"
"LSM-2167","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-43005","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-3810","Fluorescence imaging cell count assay##Fluorescence imaging protein state assay##L1000 mRNA profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2042","Fluorescence imaging cell count assay##L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1032","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##Fluorescence imaging cell count assay##Aggregated small molecule biochemical target activity"
"LSM-5613","Fluorescence imaging cell growth inhibition assay##L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-2974","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-43083","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-2001","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-3425","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1172","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-3365","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4942","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5176","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2511","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-1134","L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Fluorescence imaging cell count assay##Aggregated small molecule biochemical target activity"
"LSM-1168","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-4010","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1009","L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-2233","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2160","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1072","L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Fluorescence imaging cell count assay##Aggregated small molecule biochemical target activity"
"LSM-1948","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1599","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1096","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1053","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-3718","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2229","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-5502","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2843","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4571","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1439","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-4923","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1297","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##RNA-seq gene expression profiling assay##Aggregated small molecule biochemical target activity"
"LSM-42793","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-1750","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-42778","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##Fluorescence imaging cell viability assay##KINOMEscan kinase-small molecule binding assay"
"LSM-2353","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-42804","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-3134","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
