"Compound","Assays"
"LSM-5762","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3553","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5624","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3653","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3171","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3234","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2802","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3460","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2973","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4958","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5549","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2726","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5080","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5808","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2416","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2824","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3183","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5648","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3315","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3815","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3466","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3792","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6665","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5963","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1695","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4193","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3945","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-42782","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-2435","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3851","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1892","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1012","L1000 mRNA profiling assay##KINOMEscan kinase-small molecule binding assay##Aggregated small molecule biochemical target activity"
"LSM-1216","L1000 mRNA profiling assay##Fluorescence imaging cell growth inhibition assay##Aggregated small molecule biochemical target activity"
"LSM-2375","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3905","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2671","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4021","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3876","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3068","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1055","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-4830","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5279","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2628","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1318","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5714","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5575","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1816","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1761","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2059","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1867","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2328","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5543","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1618","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4370","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1127","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-6371","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6266","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4864","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2224","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3721","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3618","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2032","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1919","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1778","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2899","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2677","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2338","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2105","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2410","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4384","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3695","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1203","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4152","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4862","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2555","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3243","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3022","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2043","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3194","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4039","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1811","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-43009","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-5674","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-2800","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1677","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2609","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3885","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3812","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3354","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5791","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4003","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3869","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2922","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3452","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4017","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3665","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1574","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5807","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3693","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5982","L1000 mRNA profiling assay##Fluorescence imaging cell count assay##KINOMEscan kinase-small molecule binding assay"
"LSM-6008","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3933","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6588","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5858","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6510","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4022","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-19002","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2881","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4611","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-3049","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3340","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3771","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5663","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1467","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-22620","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2459","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1616","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3050","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4119","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3796","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1824","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2302","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4535","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3285","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-22631","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1844","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2708","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3732","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3600","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2192","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1406","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3219","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4869","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2193","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-3229","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1729","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-1276","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5422","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2580","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3649","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2789","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5390","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3583","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3789","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1548","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1161","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4408","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2007","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2427","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2490","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1706","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4388","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5396","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3820","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2124","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1561","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1959","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1518","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2905","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1343","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3797","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6011","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3526","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2872","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3433","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3664","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2811","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1323","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5884","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3164","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3357","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3420","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4057","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3857","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6229","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1557","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2022","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2642","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3265","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3833","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3608","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3930","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1327","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5892","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2037","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2443","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3584","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1975","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3850","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5217","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-2702","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3991","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3743","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5427","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Aggregated small molecule biochemical target activity"
"LSM-2176","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5811","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1310","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3054","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-6204","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4151","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2983","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5174","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5757","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2939","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2386","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5839","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1413","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3434","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4085","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1532","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5123","L1000 mRNA profiling assay##P100 phosphoprotein quantification assay##Global chromatin epigenetic profiling assay"
"LSM-2947","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3366","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3780","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3943","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-5581","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3987","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1267","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-1889","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-2741","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4285","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-4346","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3120","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3373","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
"LSM-3314","L1000 mRNA profiling assay##Fluorescence imaging drug synergy assay##Aggregated small molecule biochemical target activity"
"LSM-29353","L1000 mRNA profiling assay##Fluorescence imaging multiplex cytological profiling assay##Aggregated small molecule biochemical target activity"
